"alk_käyttö","poissaolot","terveys","opisk_aika","ikä","parisuhde","huoltaja","netti"
"119",1.5,5,3,3,17,2,2,2
"120",1.5,7,3,2,17,2,1,2
"121",1,12,5,1,16,2,2,2
"122",1,2,3,2,17,1,2,1
"123",1,5,3,3,18,2,3,2
"124",1,4,4,4,17,1,2,2
"125",1,1,2,4,17,2,1,2
"126",2,12,2,2,18,2,1,2
"127",1,3,4,3,17,1,2,1
"128",1,0,3,3,18,2,2,2
"129",2,8,4,2,18,1,2,2
"130",1.5,6,3,2,18,2,2,2
"131",3,16,5,2,19,1,3,2
"132",2,7,2,4,18,2,1,2
"133",1,2,3,2,18,1,2,1
"134",1,4,1,2,17,2,2,2
"135",2.5,6,5,2,17,2,2,2
"136",1,45,5,2,18,2,2,2
"137",1,8,4,2,18,2,1,2
"138",1,2,3,4,18,1,2,1
"139",1,2,4,2,18,1,2,2
"140",1.5,2,3,2,18,1,2,2
"141",1.5,8,5,2,17,1,2,2
"142",1.5,2,2,3,18,1,2,2
"143",1,3,3,3,17,1,2,2
"144",1.5,0,3,3,17,1,2,2
"145",1,3,3,4,17,1,2,1
"146",2.5,1,2,2,19,1,3,2
"147",1.5,5,2,2,18,2,3,2
"148",1,0,3,4,18,1,1,2
"149",1,7,4,2,18,2,2,2
"150",1,0,3,3,17,1,2,2
"151",1.5,0,5,4,17,1,1,2
"152",1.5,1,1,2,18,1,2,2
"153",1,6,5,3,18,2,2,2
"154",3.5,1,5,3,17,1,1,2
"155",3,1,5,2,18,1,2,2
"156",1.5,18,5,2,17,2,2,2
"157",1,8,3,2,17,2,2,1
"158",2,2,3,3,17,1,2,2
"159",2.5,0,5,3,17,1,1,2
"160",2.5,0,2,3,17,1,1,2
"161",2.5,4,4,2,17,1,2,2
"162",2,4,4,3,17,1,2,2
"163",1.5,4,4,3,17,2,2,2
"164",1,4,5,3,17,2,1,2
"165",1,4,4,2,18,1,2,2
"166",1,0,2,2,18,2,3,2
"167",1,3,4,4,18,1,2,1
"168",2,12,5,3,17,1,2,2
"169",2.5,0,2,2,17,2,2,2
"170",1,6,1,4,18,1,2,2
"171",2.5,2,2,2,17,1,2,2
"172",1.5,9,4,2,17,2,1,2
"173",1.5,2,3,3,18,1,2,2
"174",2.5,6,1,3,18,2,2,2
"175",2,0,4,3,17,2,2,2
"176",1,0,5,2,18,2,1,1
"177",1.5,3,5,2,17,1,1,2
"178",1.5,1,5,2,17,2,2,1
"179",1,0,4,3,18,1,1,2
"180",2,3,3,2,18,2,2,2
"181",1,2,1,2,17,2,2,2
"182",1.5,0,3,2,17,1,1,1
"183",1.5,0,1,1,17,2,2,2
"184",1.5,0,4,1,18,2,1,2
"185",3,5,5,2,18,2,1,2
"186",1,8,3,3,17,2,2,1
"187",2,9,1,1,17,1,2,2
"188",1,0,1,3,18,1,2,2
"189",1.5,3,4,3,18,1,2,2
"190",3.5,2,2,2,18,1,2,2
"191",1.5,0,1,2,18,2,2,2
"192",2.5,14,1,2,17,1,2,2
"193",2,1,4,3,18,1,2,1
"194",2,6,5,1,18,2,2,2
"195",1.5,2,5,3,19,1,2,2
"196",1,2,1,2,18,1,2,2
"197",2,2,5,2,18,1,2,1
"198",1,3,5,2,18,1,2,1
